"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
328.688,2021,6,20,2,84.875,22.75,14.938,0,200.125,6
89.563,2021,6,11,7,18.5,10.5,6.438,0,48.375,5.75
134.751,2021,6,5,6,6,14.563,6,80.438,21.5,6.25
328.688,2021,6,16,8,84.875,22.75,14.938,0,200.125,6
199,2021,6,9,22,76.875,17.25,11.125,69.375,18.375,6
481.313,2021,6,11,20,89.75,22.563,18.25,0,344.75,6
268.5,2021,5,25,10,115,26.875,22.375,77.125,20.625,6.5
285.251,2021,5,21,15,174.875,27.625,33.313,9.563,28.625,11.25
177.501,2021,5,28,23,100.75,17.563,8.375,22.188,22.625,6
168.688,2021,6,2,19,76.125,19.438,27.125,0,39.75,6.25
7.938,2021,6,11,8,2.5,5.125,0.313,0,0,0
269.501,2021,6,9,18,72.5,31.313,29.563,85.75,44.375,6
136,2021,6,3,3,6.5,11.375,4.875,77.625,30.125,5.5
202,2021,6,9,8,79.125,18.75,9.75,70.875,17.5,6
258.001,2021,5,27,10,74.625,20.125,24.563,107.438,24.25,7
126.501,2021,6,1,2,13.875,15.375,9.188,59.188,22.875,6
256.75,2021,6,8,11,110,29.375,30.375,63,17.75,6.25
256,2021,6,3,20,47.5,32.25,30.125,122,18.125,6
125.5,2021,5,24,4,9.75,9,5.375,76.5,19.375,5.5
293.313,2021,6,11,14,42.75,32.875,36.5,0,171.688,9.5
52.626,2021,6,13,16,6.875,20.688,3.688,0,15.875,5.5
20.813,2021,6,2,8,17.875,0.563,2.375,0,0,0
269.813,2021,6,4,13,177.5,24.25,34.688,0,25.875,7.5
395.188,2021,6,4,19,32.25,21.875,26.938,0,307.625,6.5
78.501,2021,5,28,7,13.5,12.625,7.063,23.25,16.063,6
117.001,2021,6,6,1,3.5,6.563,5,82.688,14.25,5
328.688,2021,6,16,12,84.875,22.75,14.938,0,200.125,6
122.751,2021,6,9,2,13.375,17.25,5.688,62.813,17.375,6.25
328.688,2021,6,15,13,84.875,22.75,14.938,0,200.125,6
224.5,2021,6,2,21,78.625,17.125,16.75,81.125,24.875,6
328.688,2021,6,18,6,84.875,22.75,14.938,0,200.125,6
208.251,2021,5,27,22,11.5,15.563,9.313,150.125,15.5,6.25
129.751,2021,5,24,23,10.75,15.125,8.688,64.063,23.875,7.25
328.688,2021,6,15,15,84.875,22.75,14.938,0,200.125,6
117.001,2021,5,30,15,7.625,18.75,4.813,53.688,26.125,6
275.251,2021,5,31,19,99.75,30.063,30.5,80.063,29.125,5.75
61.751,2021,6,12,23,7.875,15.688,6.063,9.875,16.5,5.75
121.25,2021,6,8,1,8,11.25,2.5,77.375,16.375,5.75
15.938,2021,6,10,17,1,9.75,5.188,0,0,0
64.125,2021,6,2,17,57,1.875,5.25,0,0,0
124.626,2021,6,11,6,5.125,15.813,6.125,0,91.813,5.75
73.625,2021,5,28,11,65.375,4.5,3.75,0,0,0
265.563,2021,6,11,23,74,17.813,6.875,0,160.625,6.25
122.001,2021,6,9,1,5.625,9.813,3.375,80.063,17.125,6
149,2021,6,6,17,6.375,20.875,7.875,81.625,26.25,6
328.688,2021,6,17,20,84.875,22.75,14.938,0,200.125,6
125.75,2021,6,5,11,7,14.125,7.375,74.375,17.125,5.75
328.688,2021,6,15,8,84.875,22.75,14.938,0,200.125,6
129.251,2021,6,6,11,7.25,17.75,7.438,71.938,19.125,5.75
261.751,2021,6,7,20,65.375,27.938,28.563,105.625,28,6.25
104.25,2021,6,5,19,4.875,7.125,3,70.625,13.875,4.75
135.251,2021,6,8,6,10.125,11.313,3.438,76.25,28.375,5.75
210.751,2021,5,31,22,67.25,12.875,10.688,83.875,29.813,6.25
133.001,2021,5,23,7,3.375,8.938,5.25,87.438,16.5,11.5
281.751,2021,6,8,15,94.25,25.375,31.313,85.813,32.25,12.75
51.126,2021,5,21,20,2.125,8.188,14.813,0,5.75,20.25
237.501,2021,5,26,9,59.625,18.25,12.938,125.813,14.375,6.5
159.501,2021,5,22,0,78.5,13.188,8.875,31.563,20.875,6.5
140.751,2021,6,7,6,2.375,10.063,5.813,98.25,18,6.25
328.688,2021,6,17,3,84.875,22.75,14.938,0,200.125,6
219.751,2021,5,26,21,39.375,20.25,21.938,106.313,25.625,6.25
61.75,2021,6,13,12,5.875,21,5,3.25,20.875,5.75
28.25,2021,5,27,20,22.75,1.5,4,0,0,0
124.251,2021,6,2,1,34.25,9.625,4.813,43.125,26.688,5.75
61.5,2021,6,13,10,6.875,16.625,5.125,6,21.875,5
328.688,2021,6,17,15,84.875,22.75,14.938,0,200.125,6
80.251,2021,5,29,1,18.25,15.563,4.688,19.125,16.375,6.25
269.25,2021,6,2,18,36.875,27.625,34.375,138.625,26,5.75
224.75,2021,6,7,21,80,22,18,70.5,28,6.25
285.813,2021,6,10,18,108.5,32.375,33.063,0,106.125,5.75
138.25,2021,6,6,20,6.125,20,7,78.5,20.875,5.75
127.751,2021,5,27,1,43.375,10.313,8.25,43.438,16.625,5.75
282.001,2021,5,31,18,130.25,35.875,34.563,44.938,29.875,6.5
328.688,2021,6,18,11,84.875,22.75,14.938,0,200.125,6
63.751,2021,6,13,23,7.5,17.563,6.563,2.875,23.5,5.75
42.375,2021,6,2,11,31.125,5.75,5.5,0,0,0
263.001,2021,6,3,10,29.5,15.125,25.438,168.313,17.625,7
59.063,2021,6,12,18,6.625,12.375,5.688,0,28.875,5.5
121.25,2021,5,31,1,2.625,12,3.625,80.25,17,5.75
212.751,2021,5,23,8,9,14.438,7.125,71.438,20.5,90.25
30.063,2021,5,31,23,29,0.875,0.188,0,0,0
152.25,2021,5,26,6,10.375,12.375,4.125,87.875,19.75,17.75
121.001,2021,5,22,21,9.75,15.25,5.938,66.563,17,6.5
138.25,2021,5,30,14,4,24.875,6,71.25,25.875,6.25
182.188,2021,6,4,0,110,13.563,6.375,0,46.25,6
128.251,2021,5,25,3,7.125,9.75,7.688,81.563,15.875,6.25
328.688,2021,6,14,16,84.875,22.75,14.938,0,200.125,6
72.751,2021,5,29,10,3.125,12.563,3.688,32.5,15.125,5.75
276.251,2021,5,27,11,72.25,36.875,29.063,107.813,20,10.25
127.001,2021,6,1,5,6.25,12.563,7.75,73.188,21.25,6
143.25,2021,6,4,6,12.5,14.125,5.875,72.125,32.875,5.75
383.063,2021,6,2,16,267.375,29.25,41.688,0,38,6.75
328.688,2021,6,16,22,84.875,22.75,14.938,0,200.125,6
168.501,2021,6,9,0,39.75,14.375,5.938,77.313,25.125,6
328.688,2021,6,18,23,84.875,22.75,14.938,0,200.125,6
249.501,2021,5,28,10,79.75,20.5,24.563,98.688,18.5,7.5
328.688,2021,6,18,9,84.875,22.75,14.938,0,200.125,6
43,2021,6,4,8,40.875,1.125,1,0,0,0
191.251,2021,6,7,22,14.125,15.563,7.25,133.563,15,5.75
125.501,2021,6,8,3,5.625,11,5.063,73.75,23.563,6.5
348.126,2021,6,10,22,97.75,14.813,10.813,0,219,5.75
312.75,2021,6,3,12,4.875,40.25,43.375,196.875,17.625,9.75
133.001,2021,6,5,12,5,12.75,6.563,84.313,18.375,6
328.688,2021,6,17,12,84.875,22.75,14.938,0,200.125,6
300.5,2021,5,25,12,83.625,35.75,42.625,101.5,28.5,8.5
8.501,2021,5,29,17,2.5,2.188,3.813,0,0,0
136.001,2021,6,2,3,20.375,14.25,5.438,72.188,17.75,6
129.501,2021,5,24,7,9.375,10.563,6.313,73.5,23.75,6
61.751,2021,6,13,7,5.125,10.063,5.438,20,15.875,5.25
166.251,2021,6,1,16,45.375,27.875,35.438,33.438,16.875,7.25
133.5,2021,5,24,18,4.375,16.75,13.625,74.625,18.125,6
130.75,2021,6,6,18,5.875,18.25,5,70.25,25.625,5.75
5.751,2021,6,9,23,1.125,4.313,0.313,0,0,0
10.188,2021,5,30,2,4.375,1.063,4.75,0,0,0
233.001,2021,6,10,9,90.75,16.125,17.688,74.188,26.25,8
253.751,2021,6,9,10,78.875,16.938,19.75,101.688,29.75,6.75
33.563,2021,5,28,17,30.625,0.813,2.125,0,0,0
135.501,2021,5,30,20,5.75,22.75,7.063,68.313,25.625,6
261.251,2021,5,26,18,89.125,29,31.563,69.938,27.375,14.25
328.688,2021,6,18,4,84.875,22.75,14.938,0,200.125,6
126.251,2021,5,26,2,9.625,13.188,9.375,65.938,22.375,5.75
167.25,2021,5,21,9,53.125,16.25,22.375,52.375,13.875,9.25
233.251,2021,6,9,9,68.75,16.875,12.688,109.188,19,6.75
312,2021,5,26,13,100.25,34.625,39,76.125,55,7
